Team,Year,Week,Win/Loss,Win Loss Factor,Home/Away,Points Scored,Points Allowed,3rd Down,3rd Down Allowed,Pass Yards,Pass Yards Allowed,Rush Yards,Rush Yards Allowed,Opp Team
0,0,2,0,-0.124353,0,-17,-5,-0.214285,0.059829,-51,-7,-82,-17,22
1,0,2,1,0.124353,0,6,-4,0.059829,-0.058441,2,-113,41,-29,20
2,0,2,0,0.124353,0,29,14,0.601399,-0.045614,198,108,2,38,3
4,0,2,1,-0.124353,1,14,29,-0.045614,0.601399,108,198,38,2,5
6,0,2,1,0,0,-23,-4,-0.247619,0.160714,71,87,-62,-78,9
7,0,2,0,-0.124353,1,-7,3,0.293706,0.145098,174,-111,-31,10,12
8,0,2,0,0.124353,0,10,-4,0.033333,0.209091,-115,212,25,-46,13
10,0,2,1,-0.124353,1,-7,16,-0.02381,0.074867,161,-50,-74,168,18
11,0,2,1,0,0,21,17,0.314686,-0.051282,-63,142,168,-59,19
14,0,2,1,0,1,0,21,-0.185714,0.148718,-90,-126,51,93,29
15,0,2,1,-0.124353,1,-14,18,-0.154545,0.233333,109,-49,12,85,30
16,0,2,1,0,0,6,8,0.098901,0,23,-195,129,31,21
17,0,2,0,-0.124353,1,-12,-1,-0.043956,-0.054945,-85,13,2,69,23
24,0,2,1,0.124353,0,-1,-17,-0.058823,0.027472,21,-22,30,-14,25
26,0,2,1,0.124353,0,8,-22,0.20606,-0.06993,15,-3,30,14,28
27,0,2,1,-0.124353,1,-8,2,-0.009615,-0.114286,-29,-29,-54,58,31
0,0,3,0,-0.122459,0,-17.5,-1.5,-0.299617,0.016453,-159.5,-61,2,0,2
1,0,3,0,0.122459,1,-4,-2,0.173271,-0.231031,5,-74,0,52.5,3
4,0,3,1,0.122459,0,7,-1.5,-0.041544,0.08663,96.5,-14,-13.5,7,25
5,0,3,1,0.122459,1,-4,-4.5,0.076653,-0.243761,-39.5,-61,-9.5,-24.5,7
6,0,3,1,0,0,-1.5,-0.5,-0.210644,-0.0182,-57.5,17,17.5,-59.5,24
