Team,Year,Week,Win/Loss,Win Loss Factor,Home/Away,Points Scored,Points Allowed,3rd Down,3rd Down Allowed,Pass Yards,Pass Yards Allowed,Rush Yards,Rush Yards Allowed,Opp Team
0,2,2,1,0.124353,1,11,-11,0.627273,0.261538,26,35,28,-186,9
0,0,2,1,0.124353,0,16,-4,0.136364,-0.136364,124,62,11,-165,1
6,0,3,1,0.244919,1,8,-15,-0.016667,-0.01447,7,48.5,40.5,-131.5,11
24,2,2,1,0,0,-8,-23,0.049451,-0.184615,-39,-42,1,-130,26
18,2,2,1,0.124353,1,-3,-6,-0.163636,-0.171717,-51,128,184,-124,25
24,1,2,1,0.124353,1,25,-3,0.240259,0.067874,243,130,-72,-113,27
6,0,2,1,0.124353,1,12,0,0.2,0.095833,-8,15,34,-101,15
19,2,2,0,0.124353,0,-7,-16,0.057143,-0.338235,100,21,-96,-93,21
28,2,15,1,0.215123,0,-1.923077,-10.538462,0.033167,-0.076195,-13.230769,-6.461538,19.461538,-85.384615,30
3,0,2,0,0,1,-3,3,0.181818,0,-41,82,-71,-82,28
8,2,5,0,0.179179,1,8,-6.5,0.099634,-0.006822,19.25,-3.75,15.25,-78.25,11
0,1,5,1,0.122459,0,0,-20.25,-0.089851,-0.156025,-38.5,-143,15,-78,12
4,2,2,0,0,0,17,4,0.3,-0.090476,126,-3,62,-77,17
6,0,9,1,0.583011,0,7.017857,-12.964286,0.06305,-0.057971,-72.125,-0.142857,12.25,-74.017857,17
7,1,5,0,0,0,1.25,-1.75,-0.058801,-0.035136,-71.25,-8.75,69.5,-73,13
6,1,2,0,0,1,-10,-11,-0.133334,0.194444,-232,37,-7,-72,14
5,1,2,1,-0.124353,1,-6,4,-0.442308,0.180953,-107,105,116,-71,12
6,0,7,1,0,0,-1.6,-6.4,-0.053943,-0.126275,-43,-53.8,-21,-70.8,9
2,2,2,1,-0.124353,0,-16,0,0.177777,-0.071429,1,-57,3,-68,6
9,2,8,1,0.301638,0,1.5,-1.5,0.02833,-0.141096,-43.833333,30.333333,8,-67.833333,11
10,0,2,1,0,1,-14,-16,-0.166667,-0.045455,109,-214,-46,-67,20
19,0,2,0,0,0,3,-3,-0.222222,0.175325,-65,-35,-100,-66,31
9,2,15,0,0,0,-4.153846,-3.846154,-0.053343,-0.115026,-97.230769,70.846154,36.769231,-65.769231,13
0,0,5,0,0.05188,0,4.083333,0.333333,0.074738,0.005393,54.083333,23.916667,-36,-65,9
5,1,6,1,0,1,-1.2,0.2,-0.120831,-0.098681,-11.2,82.2,40.4,-64.4,13
24,1,3,0,0,0,9,8,-0.045455,0.010161,28,125.5,-20.5,-64,29
0,2,8,1,0.293235,1,11.047619,-7.357143,0.19155,0.105355,101.714286,36.47619,7.547619,-63.404762,22
7,1,6,0,-0.215123,1,-3,3.8,0.004935,0.114308,-55.2,8.8,59.6,-63.4,31
1,2,12,1,0.583011,1,9.3,1.1,0.141307,0.026624,101.6,29.1,4,-62,11
26,1,7,1,0.184636,0,2.066667,-6.633333,0.090679,-0.023762,-63.933333,-17.333333,15.133333,-61.833333,30
1,2,8,1,0.293235,0,-3.333333,-8.761905,0.000404,-0.049563,32.071429,5.809524,-60.238095,-59.547619,21
19,2,6,1,-0.117002,0,0.8,4.4,0.056389,-0.198929,136,37.8,-68.4,-59.4,23
0,0,4,1,0.117002,0,1.666667,-4.333333,0.010992,-0.022417,82,32,-21.666667,-57.333333,14
2,1,8,1,-0.184636,0,0.904762,-5,0.004451,-0.036136,-23.261905,43.166667,0.761905,-57.071429,13
29,2,13,0,-0.339476,1,-10.272727,-2.545455,0.01041,-0.043838,-34.818182,-8.818182,-39.272727,-56.545455,30
16,0,2,0,-0.124353,1,-3,10,-0.172269,0.027778,-61,-85,-96,-56,29
5,0,3,0,0,1,7,-9,-0.051265,-0.139103,-22.5,-58.5,23,-56,12
8,2,7,0,-0.353518,1,1.833333,0.166667,0.019589,0.107537,66.833333,50,-26.333333,-55.5,18
9,2,11,1,0.301638,0,-0.055556,-2.933333,-0.050194,-0.047211,-74.777778,92.855556,4.144444,-55.488889,22
1,2,9,1,0.244919,0,2.875,1.375,0.023004,-0.095557,165.625,74.125,-100.375,-55.375,23
8,2,4,0,-0.117002,0,-0.666667,-4,-0.092232,-0.014839,-44.333333,65,-27,-55,16
6,0,5,1,0.241355,1,5.666667,-7.416667,-0.049608,0.041171,34.833333,-7.5,28.166667,-54.75,16
0,1,3,1,0,1,2.5,-13,0.187607,-0.146199,-14,-120,23.5,-53.5,19
7,0,10,1,0.353518,1,1.625,-0.625,0.017996,0.010019,-84,9.25,62.375,-53.375,11
10,0,15,1,0.5546,1,5.923077,-4.538462,-0.02418,-0.040583,-6.538462,-26,26.769231,-53.076923,11
0,0,3,1,0,1,0.5,4.5,-0.056372,-0.026515,96,13.5,-67.5,-53,29
10,0,13,1,0.358357,0,3.090909,-4,-0.039066,-0.091467,-11.636364,-44.363636,20.454545,-52.818182,11
7,1,4,1,0.124353,0,-0.333333,-6,-0.005704,0.144009,-61.666667,-108.666667,46.666667,-52.333333,20
20,2,5,1,0.122459,1,5.5,0.75,-0.010378,-0.061355,148.5,95,-79.25,-52.25,23
14,2,2,0,0,1,-2,-20,0.204545,-0.196429,77,-81,-39,-52,31
4,1,13,0,0.117002,1,3.272727,-6.090909,-0.040099,-0.100228,-37.181818,49.454545,8.909091,-51.454545,13
24,0,2,1,0,1,-7,0,-0.153847,-0.212122,-36,-50,-42,-51,25
0,2,3,0,0,0,5,-14,0.10984,0.025213,-49,-106.5,35.5,-50.5,1
22,2,2,1,-0.124353,1,-12,13,-0.02381,-0.162896,122,114,12,-50,23
0,1,2,1,-0.124353,0,-1,7,0.080808,-0.354167,69,-91,43,-50,1
0,0,6,0,0,1,-2,6.4,0.04732,0.091372,20.6,38,-26,-49,12
5,1,13,0,0.2773,0,3.545455,-2.454545,-0.062254,-0.071796,4.363636,41.272727,63.636364,-48.909091,6
29,1,4,0,0,1,-2.666667,-1,0.187516,0.210556,-18,79.333333,-26.333333,-48,31
12,2,11,1,0.215123,0,7.777778,-2.444444,0.118321,-0.065435,48.555556,39.222222,24.333333,-47.888889,13
16,0,8,1,0.056719,1,-1.857143,-6.714286,-0.001401,-0.080189,-89.285714,-9.428571,16.714286,-47.857143,17
0,2,5,1,0.244919,1,10,-8,0.212063,-0.043251,115.5,-100.75,18.25,-47.75,6
0,1,10,1,0.353518,0,11.375,-16.625,0.033775,-0.120221,18.625,-97.875,42.625,-47.75,3
5,2,11,1,0.410237,1,5.711111,-2.522222,0.164209,-0.082143,10.577778,35.355556,50.111111,-47.2,25
0,2,12,1,0.353518,0,3.1,-10.8,0.078015,-0.083547,49.6,-41.4,1.2,-47.1,21
0,2,4,1,0,0,-2.666667,-13,0.252189,0.056143,84,-196.333333,-23,-47,5
17,2,7,1,0.301638,1,-9.666667,-17.666667,-0.049063,-0.122482,-78.4,-77.5,-32.566667,-46.933333,21
5,2,15,0,0.456479,0,0.076923,-5.615385,0.041341,-0.024968,-34.461538,33.307692,12.692308,-46.923077,7
26,1,9,0,0.241355,1,4,-9.571429,-0.056419,-0.13152,-66.142857,31.714286,38,-45.714286,27
6,1,6,1,0,1,-5.2,-2.8,0.083575,0.026032,-1,-45,-30.4,-44.8,30
2,2,7,0,0.122459,1,8,-0.833333,0.042603,-0.040252,100.5,40.166667,-39.5,-44,23
24,1,13,1,0.339476,0,13.454545,-4.454545,0.086071,-0.090976,80.454545,10.545455,10.727273,-43.909091,27
10,0,8,1,0.122459,0,0.166667,-8.333333,0.011463,-0.086301,19.5,-49,-10.5,-43.5,21
8,0,5,0,0.108599,0,3.75,-2.25,0.078572,0.02877,8.75,49.5,30.75,-43.25,11
17,1,8,1,0.231059,0,9.666667,1.5,0.068745,0.06706,10.166667,64.666667,36.5,-41.833333,20
17,1,5,1,0.244919,1,10.75,0.5,0.066444,-0.06553,-27.5,56,64.25,-41.75,18
0,1,4,1,0.124353,1,9,-10.666667,0.109646,-0.070707,41.333333,-91.333333,32.666667,-41.666667,11
5,1,3,1,0.122459,0,6.5,-4,0.042172,-0.127777,-51.5,107,108,-41.5,21
5,0,13,1,0.339476,1,2.818182,-13.181818,0.056606,-0.139403,-85.181818,-4.090909,45.454545,-41.272727,17
1,2,14,0,0.231059,0,2.25,-1.666667,-0.035475,-0.030117,24,13.5,5,-41.166667,13
7,1,11,1,0.380797,1,6.433333,-4.788889,0.023167,0.043486,-1.188889,-14.911111,45.877778,-40.966667,21
13,2,7,0,0.122459,1,-0.833333,-1.833333,-0.01362,-0.064322,48.333333,-20.166667,-29.5,-40.833333,30
21,1,2,0,0,0,30,3,0.166667,-0.166667,128,160,73,-40,22
8,2,13,0,0,0,-2.818182,-7.090909,-0.008591,-0.054671,-4.363636,-11.818182,0.909091,-39.818182,21
5,2,13,1,0.456479,1,10.727273,3,0.172605,0.013036,-21.454545,68.909091,58.454545,-39.636364,15
9,1,11,0,0.669527,1,13.577778,-5.466667,0.060936,-0.041556,11.566667,18.9,55.822222,-38.288889,11
2,0,11,0,0.215123,0,-1.222222,-4.555556,0.003091,-0.05801,-71.777778,-16.888889,73.222222,-38.222222,11
27,2,3,1,-0.122459,0,14.5,7.5,-0.073277,-0.012821,14.5,-4,89.5,-38,30
12,2,5,1,0.244919,1,8.25,-1,0.09522,0.032608,24.5,10,4,-37.5,14
